Player_Id,Player_Name,Season_year,Nationality,matches_won_as_a_keeper
419,NS Naik,2016,Indian,0
2,BB McCullum,2008,Abroad,0
354,KL Rahul,2014,Indian,0
176,MN van Wyk,2009,Abroad,0
43,L Ronchi,2008,Abroad,0
355,Q de Kock,2014,Abroad,0
123,DT Patil,2008,Indian,0
272,TD Paine,2011,Abroad,0
95,DB Das,2013,Indian,0
360,CM Gautam,2013,Indian,0
114,YV Takawale,2014,Indian,0
214,MS Bisla,2014,Indian,0
207,AP Tare,2015,Indian,0
360,CM Gautam,2015,Indian,0
26,KC Sangakkara,2012,Abroad,0
351,SV Samson,2016,Indian,0
110,AB de Villiers,2008,Abroad,0
36,M Rawat,2013,Indian,0
132,SP Goswami,2010,Indian,0
183,NV Ojha,2013,Indian,0
17,PA Patel,2009,Indian,0
279,BJ Haddin,2011,Abroad,0
277,DH Yagnik,2014,Indian,0
237,KM Jadhav,2016,Indian,1
2,BB McCullum,2009,Abroad,1
341,MDKJ Perera,2013,Abroad,1
62,WP Saha,2009,Indian,1
208,AT Rayudu,2017,Indian,1
110,AB de Villiers,2013,Abroad,1
26,KC Sangakkara,2013,Abroad,1
329,Gurkeerat Singh,2013,Indian,1
214,MS Bisla,2010,Indian,1
132,SP Goswami,2008,Indian,1
251,C Madan,2010,Indian,1
354,KL Rahul,2013,Indian,1
47,PR Shah,2008,Indian,1
46,RV Uthappa,2009,Indian,1
17,PA Patel,2010,Indian,1
239,KB Arun Karthik,2012,Indian,1
47,PR Shah,2011,Indian,1
491,SP Jackson,2017,Indian,1
2,BB McCullum,2010,Abroad,1
407,JC Buttler,2016,Abroad,1
355,Q de Kock,2013,Abroad,1
468,KH Devdhar,2011,Indian,1
200,SS Shaikh,2009,Indian,1
355,Q de Kock,2015,Abroad,1
237,KM Jadhav,2017,Indian,1
114,YV Takawale,2009,Indian,2
11,MV Boucher,2011,Abroad,2
252,AG Paunikar,2011,Indian,2
496,Vishnu Vinod,2017,Indian,2
36,M Rawat,2009,Indian,2
88,KD Karthik,2014,Indian,2
17,PA Patel,2008,Indian,2
53,AC Gilchrist,2008,Abroad,2
239,KB Arun Karthik,2011,Indian,2
132,SP Goswami,2011,Indian,3
277,DH Yagnik,2011,Indian,3
62,WP Saha,2015,Indian,3
360,CM Gautam,2014,Indian,3
214,MS Bisla,2011,Indian,3
237,KM Jadhav,2013,Indian,3
11,MV Boucher,2008,Abroad,3
277,DH Yagnik,2012,Indian,3
47,PR Shah,2009,Indian,3
26,KC Sangakkara,2010,Abroad,3
53,AC Gilchrist,2012,Abroad,3
237,KM Jadhav,2015,Indian,4
207,AP Tare,2014,Indian,4
134,U Kaul,2008,Indian,4
46,RV Uthappa,2011,Indian,4
183,NV Ojha,2009,Indian,4
183,NV Ojha,2011,Indian,4
263,DJ Jacobs,2011,Abroad,4
88,KD Karthik,2017,Indian,4
46,RV Uthappa,2012,Indian,4
351,SV Samson,2013,Indian,4
46,RV Uthappa,2010,Indian,4
46,RV Uthappa,2013,Indian,4
11,MV Boucher,2010,Abroad,4
17,PA Patel,2012,Indian,4
132,SP Goswami,2012,Indian,4
62,WP Saha,2016,Indian,4
20,MS Dhoni,2016,Indian,5
17,PA Patel,2014,Indian,5
26,KC Sangakkara,2011,Abroad,5
208,AT Rayudu,2010,Indian,5
319,N Saini,2012,Indian,5
214,MS Bisla,2012,Indian,5
69,Kamran Akmal,2008,Abroad,5
207,AP Tare,2010,Indian,5
208,AT Rayudu,2011,Indian,6
183,NV Ojha,2014,Indian,6
17,PA Patel,2011,Indian,6
114,YV Takawale,2008,Indian,6
26,KC Sangakkara,2008,Abroad,6
62,WP Saha,2008,Indian,6
277,DH Yagnik,2013,Indian,6
214,MS Bisla,2013,Indian,6
183,NV Ojha,2010,Indian,6
420,RR Pant,2017,Indian,6
17,PA Patel,2016,Indian,6
62,WP Saha,2010,Indian,6
183,NV Ojha,2015,Indian,7
351,SV Samson,2015,Indian,7
46,RV Uthappa,2015,Indian,7
53,AC Gilchrist,2011,Abroad,7
351,SV Samson,2014,Indian,7
20,MS Dhoni,2008,Indian,7
53,AC Gilchrist,2013,Abroad,7
26,KC Sangakkara,2009,Abroad,7
88,KD Karthik,2008,Indian,7
239,KB Arun Karthik,2013,Indian,7
62,WP Saha,2017,Indian,7
110,AB de Villiers,2012,Abroad,7
88,KD Karthik,2010,Indian,7
2,BB McCullum,2012,Abroad,7
355,Q de Kock,2016,Abroad,7
88,KD Karthik,2015,Indian,8
11,MV Boucher,2009,Abroad,8
110,AB de Villiers,2011,Abroad,8
20,MS Dhoni,2009,Indian,8
17,PA Patel,2013,Indian,8
20,MS Dhoni,2010,Indian,8
46,RV Uthappa,2017,Indian,8
53,AC Gilchrist,2010,Abroad,8
36,M Rawat,2008,Indian,8
183,NV Ojha,2017,Indian,8
354,KL Rahul,2016,Indian,8
46,RV Uthappa,2016,Indian,8
53,AC Gilchrist,2009,Abroad,9
88,KD Karthik,2016,Indian,9
17,PA Patel,2015,Indian,10
20,MS Dhoni,2015,Indian,10
20,MS Dhoni,2014,Indian,10
88,KD Karthik,2009,Indian,10
20,MS Dhoni,2017,Indian,10
17,PA Patel,2017,Indian,10
20,MS Dhoni,2012,Indian,10
88,KD Karthik,2012,Indian,10
46,RV Uthappa,2014,Indian,11
183,NV Ojha,2012,Indian,11
20,MS Dhoni,2011,Indian,11
183,NV Ojha,2016,Indian,11
62,WP Saha,2014,Indian,12
20,MS Dhoni,2013,Indian,12
88,KD Karthik,2013,Indian,13
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
